Orthogroup	Brachy	Maize	Rice	Sorghum	Telongatum
OG0002840	BrachyLOC100845952	MaizeLOC103638883	RiceLOC107278078, RiceLOC9268804	SorghumLOC8074709	GWHGABKY042594, GWHGABKY042610, GWHGABKY042612
OG0002841	BrachyLOC104582111, BrachyLOC104582413, BrachyLOC104583223, BrachyLOC104584076, BrachyLOC104584209, BrachyLOC104585092, BrachyLOC112269980, BrachyLOC112272477				
OG0002842	BrachyLOC100837562, BrachyLOC100844443	MaizeLOC100278269	RiceLOC4329089, RiceLOC4338222	SorghumLOC8058298, SorghumLOC8081651	GWHGABKY008900
OG0002843	BrachyLOC100833950, BrachyLOC106866161	MaizeLOC103642511	RiceLOC4341889	SorghumLOC8064800	GWHGABKY003856, GWHGABKY003882, GWHGABKY028132
OG0002844	BrachyLOC100828467	MaizeLOC100191246, MaizeLOC100283644	RiceLOC4346490, RiceLOC4346502	SorghumLOC110430746	GWHGABKY042256, GWHGABKY042260
OG0002845	BrachyLOC100838243, BrachyLOC100838538	MaizeLOC100192114	RiceLOC4350462	SorghumLOC8066960, SorghumLOC8069309, SorghumLOC8069310	GWHGABKY006707
OG0002846	BrachyLOC100833553	MaizeLOC100273988, MaizeLOC100381741, MaizeLOC103643495, MaizeLOC103644874	RiceLOC4341927	SorghumLOC8063805	GWHGABKY042103
OG0002847	BrachyLOC100834474	MaizeLOC100281286, MaizeLOC103626369	RiceLOC4341932, RiceLOC4341934	SorghumLOC8063808, SorghumLOC8065128	GWHGABKY042090
OG0002848	BrachyLOC100837358, BrachyLOC100842614	MaizeLOC100281008	RiceLOC4334766	SorghumLOC8060881, SorghumLOC8080154	GWHGABKY007125, GWHGABKY038017
OG0002849	BrachyLOC100820882, BrachyLOC100823693	MaizeLOC103654922	RiceLOC4328277, RiceLOC4341972	SorghumLOC8073369	GWHGABKY032951, GWHGABKY041983
OG0002850	BrachyLOC104581504	MaizeLOC100283306, MaizeLOC103647985	RiceLOC4342003, RiceLOC4350941	SorghumLOC8065591	GWHGABKY041914, GWHGABKY041922
OG0002851	BrachyMPK17	MaizeLOC100279766, MaizeLOC100285952	RiceLOC4328223, RiceLOC4342017	SorghumLOC8065598	GWHGABKY032768, GWHGABKY041887
OG0002852	BrachyLOC100827400, BrachyLOC100830188	MaizeLOC103626437	RiceLOC4342032	SorghumLOC8064973, SorghumLOC8065604, SorghumLOC8065605	GWHGABKY041789
OG0002853	BrachyLOC104581510	MaizeLOC100304161, MaizeLOC103627513, MaizeLOC103628985	RiceLOC9267825	SorghumLOC8074021	GWHGABKY003776, GWHGABKY035475
OG0002854	BrachyLOC100839047, BrachyLOC104582132		RiceLOC107275789, RiceLOC4337251		GWHGABKY011746, GWHGABKY036552, GWHGABKY036567, GWHGABKY041657
OG0002855	BrachyLOC100835418, BrachyLOC100844444	MaizeLOC103638764	RiceLOC4328583, RiceLOC4341585	SorghumLOC8079455, SorghumLOC8083482	GWHGABKY033628
OG0002856	BrachyLOC100822207	MaizeLOC100192966, MaizeLOC103638781	RiceLOC4341559	SorghumLOC8067667, SorghumLOC8067668	GWHGABKY041745, GWHGABKY041747
OG0002857	BrachyLOC100824780, BrachyLOC100839003	MaizeLOC100282110	RiceLOC4341544	SorghumLOC8080197, SorghumLOC8082889	GWHGABKY033596, GWHGABKY041867
OG0002858	BrachyLOC104582149, BrachyLOC104585050		RiceLOC107275351	SorghumLOC8072757, SorghumLOC8072758	GWHGABKY025966, GWHGABKY035072, GWHGABKY036345
OG0002859	BrachyLOC100839376	MaizeLOC100279872, MaizeLOC100284813	RiceLOC4328650, RiceLOC4341470	SorghumLOC8082262, SorghumLOC8082921	GWHGABKY041518
OG0002860	BrachyLOC100840897	MaizeLOC100281261, MaizeLOC100284691, MaizeLOC100382351	RiceLOC4341464	SorghumLOC8065073	GWHGABKY041512, GWHGABKY041513
OG0002861	BrachyLOC100834322, BrachyLOC100842728	MaizeLOC100275927	RiceLOC4328657, RiceLOC4341459	SorghumLOC8065063, SorghumLOC8071658	GWHGABKY033752
OG0002862	BrachyLOC100845468	MaizeLOC103629787	RiceLOC4328675, RiceLOC4341446	SorghumLOC8082245, SorghumLOC8082936	GWHGABKY027052, GWHGABKY041238
OG0002863	BrachyLOC100846077	MaizeLOC103638664	RiceLOC4341437, RiceLOC4351811, RiceLOC9271013, RiceLOC9272421	SorghumLOC8070371	GWHGABKY041260
OG0002864	BrachyLOC100822619	MaizeLOC100286046	RiceLOC4341427	SorghumLOC8082235	GWHGABKY019208, GWHGABKY019219, GWHGABKY041264, GWHGABKY041266
OG0002865	BrachyLOC100823238	MaizeLOC103629798	RiceLOC4341426, RiceLOC9267696	SorghumLOC8065053, SorghumLOC8071669	GWHGABKY033697, GWHGABKY041267
OG0002866	BrachyLOC100824053	MaizeLOC100192829, MaizeLOC100193519	RiceLOC4345286, RiceLOC4346596	SorghumLOC110433149, SorghumLOC110437358	GWHGABKY026816
OG0002867	BrachyLOC100824489, BrachyLOC112270064, BrachyLOC112271959		RiceLOC112937381, RiceLOC112938601, RiceLOC112939314	SorghumLOC110433574, SorghumLOC110436441	
OG0002868	BrachyLOC100828749, BrachyLOC100835816	MaizeLOC100273169	RiceLOC4341335, RiceLOC4341337	SorghumLOC8076887	GWHGABKY041358, GWHGABKY041359
OG0002869	BrachyLOC100829458, BrachyLOC100840292	MaizeLOC103629816, MaizeLOC103639973	RiceLOC4341311	SorghumLOC8076726	GWHGABKY022188, GWHGABKY041392
OG0002870	BrachyLOC100840898	MaizeLOC100383950	RiceLOC4341308, RiceLOC9270643	SorghumLOC8073793, SorghumLOC8076724	GWHGABKY015089, GWHGABKY041400
OG0002871	BrachyLOC100823855, BrachyLOC100828296	MaizeLOC100216929	RiceLOC4341270	SorghumLOC8073072	GWHGABKY009530, GWHGABKY035595, GWHGABKY041442
OG0002872	BrachyLOC100826634, BrachyLOC100833284	MaizeLOC100274119	RiceLOC4328828, RiceLOC4341252	SorghumLOC110435098	GWHGABKY031665, GWHGABKY041467
OG0002873	BrachyLOC100829692, BrachyLOC100834388		RiceLOC107276943, RiceLOC107277537, RiceLOC107281290, RiceLOC9266696	SorghumLOC8072666	GWHGABKY041006
OG0002874	BrachyLOC100827228	MaizeLOC100192847, MaizeLOC103627005, MaizeLOC103654780	RiceLOC4341220	SorghumLOC8078306	GWHGABKY041020, GWHGABKY041570
OG0002875	BrachyLOC100831560, BrachyLOC100838879	MaizeLOC100383799, MaizeLOC100501078	RiceLOC4328948, RiceLOC4341130	SorghumLOC8078363	GWHGABKY041054
OG0002876	BrachyLOC100841817	MaizeLOC100284478, MaizeLOC103654973, MaizeLOC103654974, MaizeLOC103654975	RiceLOC4341119	SorghumLOC8079180	GWHGABKY041067
OG0002877	BrachyLOC100833557, BrachyLOC100836717	MaizeLOC100382400	RiceLOC4341093, RiceLOC4341096	SorghumLOC8072928	GWHGABKY039780, GWHGABKY039783
OG0002878	BrachyLOC100835085, BrachyLOC104582460	MaizeLOC100275652, MaizeLOC103634748	RiceLOC4326146	SorghumLOC8070450, SorghumLOC8072914	GWHGABKY039766
OG0002879	BrachyLOC100838543	MaizeLOC100275601, MaizeLOC100278639	RiceLOC4330501, RiceLOC4340914	SorghumLOC8072911, SorghumLOC8073834	GWHGABKY039761
OG0002880	BrachyLOC100840402, BrachyLOC100841231	MaizeLOC100281499, MaizeLOC103627657	RiceLOC4330541	SorghumLOC8071774	GWHGABKY034932, GWHGABKY039742
OG0002881	BrachyLOC100823150, BrachyLOC100846690	MaizeLOC100217233, MaizeLOC100384282	RiceLOC4340826	SorghumLOC8058559, SorghumLOC8076437	GWHGABKY039675
OG0002882	BrachyLOC100825164	MaizeLOC100381858	RiceLOC4340793, RiceLOC4340794	SorghumLOC8072803, SorghumLOC8076419	GWHGABKY039613, GWHGABKY039614
OG0002883	BrachyLOC100832827	MaizeLOC103631377, MaizeLOC103638270	RiceLOC4329352, RiceLOC9271035	SorghumLOC8070880	GWHGABKY002118, GWHGABKY039564
OG0002884	BrachyLOC100843639	MaizeLOC103629098, MaizeLOC103629990	RiceLOC4340659	SorghumLOC8055351, SorghumLOC8065733	GWHGABKY043279, GWHGABKY043310
OG0002885	BrachyLOC100821685, BrachyLOC100829412	MaizeLOC100381405, MaizeLOC103629955	RiceLOC4330674, RiceLOC4340638	SorghumLOC8061495	GWHGABKY035257
OG0002886	BrachyLOC100827383, BrachyLOC100838670	MaizeLOC100285333	RiceLOC4330742	SorghumLOC110434933, SorghumLOC8065511	GWHGABKY035165, GWHGABKY039226
OG0002887	BrachyLOC100827073, BrachyLOC100838748	MaizeLOC100191671, MaizeLOC103644703	RiceLOC4330747	SorghumLOC110434942, SorghumLOC8081274	GWHGABKY035156
OG0002888	BrachyLOC100826094, BrachyLOC100832070, BrachyLOC100840412	MaizeLOC100194120	RiceLOC107276715, RiceLOC4340467	SorghumLOC8070761	GWHGABKY039067
OG0002889	BrachyLOC100828252, BrachyLOC100829719	MaizeLOC109942402	RiceLOC4330842	SorghumLOC8075202, SorghumLOC8077349	GWHGABKY035501, GWHGABKY039076
OG0002890	BrachyLOC104581615	MaizeLOC100272374, MaizeLOC100275489	RiceLOC107277165, RiceLOC4330884	SorghumLOC8077334	GWHGABKY035384, GWHGABKY039100
OG0002891	BrachyLOC100836827, BrachyLOC100837135, BrachyLOC100837444	MaizeLOC100275448	RiceLOC107278582	SorghumLOC8063199, SorghumLOC8070738	GWHGABKY039150
OG0002892	BrachyLOC100839587	MaizeLOC100273647, MaizeLOC103629872	RiceLOC4340389, RiceLOC4342225	SorghumLOC110430935	GWHGABKY025101, GWHGABKY038818
OG0002893	BrachyLOC100833048, BrachyLOC100833364	MaizeLOC100382294, MaizeLOC103637995	RiceLOC4340300	SorghumLOC8076194	GWHGABKY038771, GWHGABKY038864
OG0002894	BrachyLOC100835795	MaizeLOC103639747	RiceLOC107277993, RiceLOC107278352, RiceLOC4334925	SorghumLOC8076180	GWHGABKY038757, GWHGABKY038758
OG0002895	BrachyLOC100836741	MaizeLOC100193376, MaizeLOC109942258	RiceLOC4340284, RiceLOC9268052	SorghumLOC8060490, SorghumLOC8076179	GWHGABKY038755
OG0002896	BrachyLOC100823414, BrachyLOC100842017	MaizeLOC100284506, MaizeLOC103638012	RiceLOC4340268, RiceLOC4350497	SorghumLOC8072575	GWHGABKY038599
OG0002897	BrachyLOC100826270, BrachyLOC100830261, BrachyLOC100845573	MaizeLOC100193048	RiceLOC4340251, RiceLOC4343863	SorghumLOC110431000	GWHGABKY038630
OG0002898	BrachyLOC100846384	MaizeLOC103629533, MaizeLOC103638016	RiceLOC4337900, RiceLOC4340248	SorghumLOC8070895	GWHGABKY027045, GWHGABKY038634
OG0002899	BrachyLOC100846364	MaizeLOC103627272, MaizeLOC103633222	RiceLOC4329629, RiceLOC4340242	SorghumLOC110434681, SorghumLOC8080743	GWHGABKY037464
OG0002900	BrachyLOC100821793	MaizeLOC103638018	RiceLOC4340233, RiceLOC4340238	SorghumLOC8076146	GWHGABKY038661, GWHGABKY038668, GWHGABKY038673
OG0002901	BrachyLOC100821462	MaizeLOC103648246		SorghumLOC8055504	GWHGABKY006187, GWHGABKY013349, GWHGABKY014190, GWHGABKY037333, GWHGABKY042015
OG0002902	BrachyLOC100822397	MaizeLOC103625811, MaizeLOC103644185	RiceLOC107276629, RiceLOC9270835	SorghumLOC8081253	GWHGABKY004506, GWHGABKY038530
OG0002903	BrachyLOC100823943, BrachyLOC104585027, BrachyLOC112268869	MaizeLOC100284907, MaizeLOC103650824	RiceLOC4327234	SorghumLOC8079825	GWHGABKY018279
OG0002904	BrachyLOC100831221	MaizeLOC100127524	RiceLOC4340184, RiceLOC4340185	SorghumLOC8069174	GWHGABKY007332, GWHGABKY013129, GWHGABKY038418
OG0002905	BrachyLOC100832118	MaizeLOC100273681, MaizeLOC100382365	RiceLOC4340183	SorghumLOC8059085, SorghumLOC8071344	GWHGABKY004619, GWHGABKY038416
OG0002906	BrachyLOC106866597, BrachyLOC106866600, BrachyLOC106866793, BrachyLOC106866802, BrachyLOC112269291, BrachyLOC112271877, BrachyLOC112271912		RiceLOC107278933		
OG0002907	BrachyLOC100838272	MaizeLOC100272292, MaizeLOC103635598, MaizeLOC109941453, MaizeLOC109941456	RiceLOC4340157	SorghumLOC8071329	GWHGABKY038348
OG0002908	BrachyLOC104581650		RiceLOC107278138, RiceLOC4339946		GWHGABKY000587, GWHGABKY031134, GWHGABKY031135, GWHGABKY037635, GWHGABKY037646
OG0002909	BrachyLOC100824037, BrachyLOC100827602	MaizeLOC100273436	RiceLOC4339998	SorghumLOC8068379, SorghumLOC8069052	GWHGABKY037805, GWHGABKY037806
OG0002910	BrachyLOC100832798, BrachyLOC100844831	MaizeLOC100276029, MaizeLOC100279385	RiceLOC4335816	SorghumLOC8062972, SorghumLOC8085409	GWHGABKY037885
OG0002911	BrachyLOC100838750	MaizeLOC100277642, MaizeLOC100278717	RiceLOC9270179	SorghumLOC8069024	GWHGABKY005771, GWHGABKY037570, GWHGABKY037571
OG0002912	BrachyLOC100828824, BrachyLOC100840584		RiceLOC107281628, RiceLOC107281728, RiceLOC4343433, RiceLOC4343436	SorghumLOC8059887	GWHGABKY008410
OG0002913	BrachyLOC100845451, BrachyLOC100845992		RiceLOC4347476	SorghumLOC8057517, SorghumLOC8059954, SorghumLOC8083475	GWHGABKY028239, GWHGABKY043138
OG0002914	BrachyLOC100822778, BrachyLOC100828319	MaizeLOC100280681, MaizeLOC103641482	RiceLOC4346442	SorghumLOC8065991	GWHGABKY026668, GWHGABKY042895
OG0002915	BrachyLOC100833509, BrachyLOC100837447, BrachyLOC100842838		RiceLOC107275322, RiceLOC4348469		GWHGABKY032428, GWHGABKY037076, GWHGABKY037331
OG0002916	BrachyLOC100825439	MaizeLOC103638207	RiceLOC107276203, RiceLOC107277121	SorghumLOC110431323, SorghumLOC8085183	GWHGABKY028574, GWHGABKY037027
OG0002917	BrachyLOC100834736	MaizeLOC100273411, MaizeLOC100280986	RiceLOC4342882, RiceLOC4348444	SorghumLOC8080168	GWHGABKY017120, GWHGABKY026237
OG0002918	BrachyLOC100832406	MaizeLOC100191729, MaizeLOC103647209, MaizeLOC103647210	RiceLOC4342783	SorghumLOC8069131, SorghumLOC8078468	GWHGABKY029152
OG0002919	BrachyLOC100822361	MaizeLOC100281849	RiceLOC4342782	SorghumLOC8069132	GWHGABKY007505, GWHGABKY011760, GWHGABKY011761, GWHGABKY011762
OG0002920	BrachyLOC100822986, BrachyLOC100830361	MaizeLOC100216823	RiceLOC4342775	SorghumLOC8078467	GWHGABKY000039, GWHGABKY009098, GWHGABKY026782
OG0002921	BrachyLOC100827915	MaizeLOC100193141, MaizeLOC100284265	RiceLOC4342489, RiceLOC4342741	SorghumLOC110432469	GWHGABKY027765, GWHGABKY027766
OG0002922	BrachyLOC100826864, BrachyLOC100834229	MaizeLOC541682	RiceLOC4342690, RiceLOC9269350	SorghumLOC8064726, SorghumLOC8078421	GWHGABKY023951
OG0002923	BrachyLOC100828839, BrachyLOC100839628	MaizeLOC100274213, MaizeLOC103627418	RiceLOC4342517	SorghumLOC8054480, SorghumLOC8080291	GWHGABKY027836
OG0002924	BrachyLOC104581690	MaizeLOC103625905	RiceLOC112939604, RiceLOC112939640	SorghumLOC8059935, SorghumLOC8074336	GWHGABKY017312, GWHGABKY041978
OG0002925	BrachyLOC100846029	MaizeLOC100191940, MaizeLOC103644195	RiceLOC4334467, RiceLOC4342626	SorghumLOC110433085, SorghumLOC8061146	GWHGABKY029896
OG0002926	BrachyLOC104582282	MaizeLOC103633735, MaizeLOC103633737, MaizeLOC103633738		SorghumLOC8063657, SorghumLOC8075066, SorghumLOC8075070	GWHGABKY038776
OG0002927	BrachyLOC100820833	MaizeLOC103648228	RiceLOC4342622	SorghumLOC8063656, SorghumLOC8066583	GWHGABKY009632, GWHGABKY023962, GWHGABKY030322
OG0002928	BrachyLOC100821740, BrachyLOC100825236	MaizeLOC100193354, MaizeLOC100283133	RiceLOC4343141, RiceLOC9266914	SorghumLOC8068795	GWHGABKY030386
OG0002929	BrachyLOC100829455		RiceLOC107281631, RiceLOC112936832, RiceLOC112939063, RiceLOC4343458	SorghumLOC110432360, SorghumLOC8081698, SorghumLOC8084067	
OG0002930	BrachyLOC100842433, BrachyLOC104581720	MaizeLOC103631960	RiceLOC4335913, RiceLOC4342455	SorghumLOC8081147	GWHGABKY008767, GWHGABKY041476
OG0002931	BrachyLOC100836903, BrachyLOC100840790, BrachyLOC104583052	MaizeLOC103635016	RiceLOC4351038, RiceLOC4351041	SorghumLOC8068558	GWHGABKY043439
OG0002932	BrachyLOC100826269	MaizeLOC100279488, MaizeLOC100283022	RiceLOC4342176, RiceLOC9271241	SorghumLOC8054494, SorghumLOC8065662	GWHGABKY008953
OG0002933	BrachyLOC100838146, BrachyLOC100838440, BrachyLOC100838753	MaizeLOC103626352		SorghumLOC8065117, SorghumLOC8083007	GWHGABKY008954, GWHGABKY017587
OG0002934	BrachyLOC100837310, BrachyLOC100842713	MaizeLOC100280630	RiceLOC4342162, RiceLOC4347937	SorghumLOC8081595	GWHGABKY008979, GWHGABKY021371
OG0002935	BrachyLOC100844531	MaizeLOC100382436	RiceLOC4333125	SorghumLOC110429525, SorghumLOC8066039	GWHGABKY017845, GWHGABKY042012, GWHGABKY042014
OG0002936	BrachyLOC100831070	MaizeLOC100278751	RiceLOC4332899	SorghumLOC110437304, SorghumLOC8082611	GWHGABKY004251, GWHGABKY011836, GWHGABKY035494
OG0002937	BrachyLOC100845964	MaizeLOC103644664, MaizeLOC109943422	RiceLOC4332894, RiceLOC4332896	SorghumLOC8080792, SorghumLOC8082613	GWHGABKY035497
OG0002938	BrachyLOC100821993, BrachyLOC100831164	MaizeLOC103646537	RiceLOC107275347, RiceLOC4332870	SorghumLOC8072042	GWHGABKY000799, GWHGABKY026885
OG0002939	BrachyLOC100823229, BrachyLOC100838829	Maizesfp1	RiceLOC4331935, RiceLOC4331937	SorghumLOC8057230, SorghumLOC8081890	GWHGABKY023088
OG0002940	BrachyLOC100843290	MaizeLOC100277625, MaizeLOC100278163, MaizeLOC103649764	RiceLOC4332804	SorghumLOC8059140, SorghumLOC8082305	GWHGABKY021629
OG0002941	BrachyLOC100846136	MaizeLOC103634644, MaizeLOC107521950	RiceLOC4332796, RiceLOC4332797	SorghumLOC8082315	GWHGABKY011482, GWHGABKY032268
OG0002942	BrachyLOC104582369	MaizeLOC103634624, MaizeLOC103634627	RiceLOC107275460, RiceLOC107277668	SorghumLOC8074442, SorghumLOC8083656	GWHGABKY007100
OG0002943	BrachyLOC100827004	MaizeLOC100193916, MaizeLOC100282096	RiceLOC4332744, RiceLOC4344300	SorghumLOC110432389, SorghumLOC8082346	GWHGABKY022004
OG0002944	BrachyLOC100828225	MaizeLOC100274007, MaizeLOC103639167	RiceLOC4325600, RiceLOC4332743	SorghumLOC8082347	GWHGABKY002785, GWHGABKY022008
OG0002945	BrachyLOC100824786, BrachyLOC100835143	MaizeLOC118473403	RiceLOC4332717	SorghumLOC8084562	GWHGABKY019773, GWHGABKY022045, GWHGABKY037315
OG0002946	BrachyLOC100843626	MaizeLOC103635696, MaizeLOC541814	RiceLOC4324068, RiceLOC4325182	SorghumLOC8060625	GWHGABKY030224, GWHGABKY031577
OG0002947	BrachyLOC100822091	MaizeLOC100274900, MaizeLOC100303849	RiceLOC107281516, RiceLOC4332635	SorghumLOC8081064	GWHGABKY006916, GWHGABKY022133
OG0002948	BrachyLOC100837301	MaizeLOC100192824	RiceLOC4332591, RiceLOC9272205	SorghumLOC8077512, SorghumLOC8083999	GWHGABKY006894, GWHGABKY022184
OG0002949	BrachyLOC100830077	MaizeLOC100280745, MaizeLOC100501075	RiceLOC107276677, RiceLOC4332584	SorghumLOC8081091	GWHGABKY022195, GWHGABKY022197
OG0002950	BrachyLOC100839941, BrachyLOC100845705	MaizeLOC100283699	RiceLOC4332583, RiceLOC9272104	SorghumLOC8081092	GWHGABKY019858, GWHGABKY022198
OG0002951	BrachyLOC100836522, BrachyLOC106866282	MaizeLOC103639259	RiceLOC4332540	SorghumLOC8081120	GWHGABKY022250, GWHGABKY042391, GWHGABKY042393
OG0002952	BrachyLOC100837602, BrachyLOC100837913	MaizeLOC100282692	RiceLOC4332375, RiceLOC4332377	SorghumLOC8084947	GWHGABKY022477, GWHGABKY022478
OG0002953	BrachyLOC100830355	MaizeLOC100278628, MaizeLOC103633779	RiceLOC4332294	SorghumLOC8054319, SorghumLOC8078834	GWHGABKY022591, GWHGABKY022592
OG0002954	BrachyLOC100835046	MaizeLOC100281549, MaizeLOC103633646	RiceLOC4331075, RiceLOC4332274, RiceLOC4348231	SorghumLOC8054332	GWHGABKY022619
OG0002955	BrachyLOC100834812, BrachyLOC100837421	MaizeLOC100217240, MaizeLOC100282291, MaizeLOC103625715, MaizeLOC103635901	RiceLOC4332263		GWHGABKY022637
OG0002956	BrachyLOC100822710	MaizeLOC100282232, MaizeLOC100283196	RiceLOC4332232	SorghumLOC8054351	GWHGABKY000201, GWHGABKY000202, GWHGABKY000203
OG0002957	BrachyLOC100822369, BrachyLOC100823028	MaizeLOC103639369	RiceLOC4332235	SorghumLOC8054348	GWHGABKY022666, GWHGABKY022667, GWHGABKY022668
OG0002958	BrachyLOC100824839, BrachyLOC100844088	MaizeLOC100303837, MaizeLOC103633413	RiceLOC4332209	SorghumLOC8078864, SorghumLOC8085664	GWHGABKY022698
OG0002959	BrachyLOC100825142	MaizeLOC100192634, MaizeLOC100383221	RiceLOC4332208, RiceLOC4334269	SorghumLOC110429761, SorghumLOC8078865	GWHGABKY022700
OG0002960	BrachyLOC100829131, BrachyLOC100838810	MaizeLOC100280879, MaizeLOC100285950	RiceLOC4345149	SorghumLOC110436963	GWHGABKY004068, GWHGABKY016994
OG0002961	BrachyLOC100829740	MaizeLOC100272649, MaizeLOC100284727, MaizeLOC103646587	RiceLOC4332195	SorghumLOC8056827, SorghumLOC8078871	GWHGABKY022713
OG0002962	BrachyLOC100835295	MaizeLOC100284667, MaizeLOC103644849	RiceLOC4332160	SorghumLOC8085260	GWHGABKY001067, GWHGABKY014308, GWHGABKY022795
OG0002963	BrachyLOC100843598	MaizeLOC541815	RiceLOC4332123, RiceLOC4332166, RiceLOC4332167, RiceLOC4332168	SorghumLOC110433127	GWHGABKY022802
OG0002964	BrachyLOC100840492	MaizeLOC100192003	RiceLOC9267104	SorghumLOC8086458	GWHGABKY019693, GWHGABKY022819, GWHGABKY022820, GWHGABKY037955
OG0002965	BrachyLOC100836527, BrachyLOC112271140	MaizeLOC100502247	RiceLOC107277308, RiceLOC4335197	SorghumLOC8083330	GWHGABKY010365, GWHGABKY010366
OG0002966	BrachyLOC100821546	MaizeLOC100191814, MaizeLOC100282391	RiceLOC9266128	SorghumLOC8054223, SorghumLOC8065731	GWHGABKY015118, GWHGABKY022978
OG0002967	BrachyLOC100825243	MaizeLOC100383926, MaizeLOC103641566, MaizeLOC103654477	RiceLOC4331984	SorghumLOC8066995, SorghumLOC8081867	GWHGABKY023008
OG0002968	BrachyLOC100833118, BrachyLOC100836441	MaizeLOC100272738, MaizeLOC541989	RiceLOC4324679	SorghumLOC8054246	GWHGABKY023051, GWHGABKY035519
OG0002969	BrachyLOC100821748	MaizeLOC100273913, MaizeLOC100282963, MaizeLOC100283435	RiceLOC4331890, RiceLOC4348492	SorghumLOC8057638	GWHGABKY023578
OG0002970	BrachyLOC100830358	MaizeLOC100193895, MaizeLOC100274071	RiceLOC4331855, RiceLOC4348520	SorghumLOC110437142	GWHGABKY023523, GWHGABKY024516
OG0002971	BrachyLOC100826724	MaizeLOC103631795, MaizeLOC103639506	RiceLOC107275877	SorghumLOC8057671	GWHGABKY023500, GWHGABKY023501, GWHGABKY023502
OG0002972	BrachyLOC100839034	MaizeLOC100273775, MaizeLOC103642310, MaizeLOC118473416, MaizeLOC118473417	RiceLOC4331807	SorghumLOC110431638	GWHGABKY023411
OG0002973	BrachyLOC104581862		RiceLOC112939238, RiceLOC112939239, RiceLOC112939374, RiceLOC4328056		GWHGABKY004494, GWHGABKY013876, GWHGABKY013880
OG0002974	BrachyLOC100834653, BrachyLOC100836968	MaizeLOC541986	RiceLOC4331719, RiceLOC4348623	SorghumLOC8059472, SorghumLOC8059844	GWHGABKY023246
OG0002975	BrachyLOC100823346, BrachyLOC100831167	MaizeLOC100283775	RiceLOC9270290	SorghumLOC110432950	GWHGABKY027555, GWHGABKY027559, GWHGABKY042445
OG0002976	BrachyLOC100839248, BrachyLOC100840323	Maizesfp4	RiceLOC4331703, RiceLOC4348651	SorghumLOC8082152	GWHGABKY023220, GWHGABKY035053
OG0002977	BrachyLOC100830037, BrachyLOC100840466	MaizeLOC100275555, MaizeLOC100277219	RiceLOC4331697, RiceLOC4348662	SorghumLOC8083718	GWHGABKY023216
OG0002978	BrachyLOC104582432, BrachyLOC104583203		RiceLOC107275484, RiceLOC107275515	SorghumLOC8066638	GWHGABKY001637, GWHGABKY023685, GWHGABKY023686
OG0002979	BrachyLOC100830743, BrachyLOC100838966	MaizeLOC109942741	RiceLOC4324378, RiceLOC4331618, RiceLOC4348759	SorghumLOC8080556	GWHGABKY023670
OG0002980	BrachyLOC100837612	MaizeLOC103631694	RiceLOC107275644, RiceLOC107280402, RiceLOC4331568	SorghumLOC8085513	GWHGABKY019099, GWHGABKY023960
OG0002981	BrachyLOC100830846, BrachyLOC100845021	MaizeLOC100192647, MaizeLOC100282753	RiceLOC4331540	SorghumLOC8057407	GWHGABKY002538, GWHGABKY023873
OG0002982	BrachyLOC100824125	MaizeLOC100501100, MaizeLOC103639545	RiceLOC4331520	SorghumLOC8057416	GWHGABKY023828, GWHGABKY023829, GWHGABKY023830
OG0002983	BrachyLOC100829724, BrachyLOC104582437	MaizeLOC100275952, MaizeLOC100278573, MaizeLOC118472233, MaizeLOC118472234, MaizeLOC118477025			GWHGABKY023799
OG0002984	BrachyLOC100822793, BrachyLOC100823104, BrachyLOC100832901	MaizeLOC100274439	RiceLOC4331406	SorghumLOC8059479	GWHGABKY024142, GWHGABKY033410
OG0002985	BrachyLOC100842414	MaizeLOC100273644, MaizeLOC103639088	RiceLOC4331435, RiceLOC4349242	SorghumLOC8058812	GWHGABKY002479, GWHGABKY024043
OG0002986	BrachyLOC100842720	MaizeLOC100282187	RiceLOC4331432	SorghumLOC8077974	GWHGABKY019743, GWHGABKY024044, GWHGABKY031337, GWHGABKY031363
OG0002987	BrachyLOC100834548	MaizeLOC100194192, MaizeLOC100282047	RiceLOC4331336, RiceLOC4349281	SorghumLOC8059509, SorghumLOC8062846	GWHGABKY024414
OG0002988	BrachyLOC100837314	MaizeLOC100281615, MaizeLOC100304273, MaizeLOC103639617	RiceLOC4331327	SorghumLOC110437409, SorghumLOC8081481	GWHGABKY024203
OG0002989	BrachyLOC100837281, BrachyLOC100840054	MaizeLOC100191673	RiceLOC4345847	SorghumLOC8059526	GWHGABKY024254, GWHGABKY032782, GWHGABKY032788
OG0002990	BrachyLOC100838561, BrachyLOC100838870	MaizeLOC103632728	RiceLOC4331285, RiceLOC4349386	SorghumLOC8056241	GWHGABKY024317, GWHGABKY031664
OG0002991	BrachyLOC100840090, BrachyLOC100846122	MaizeLOC103637643, MaizeLOC103638937	RiceLOC4349374	SorghumLOC8055650	GWHGABKY002708, GWHGABKY024299
OG0002992	BrachyLOC100821249, BrachyLOC100826886	MaizeLOC100191578, MaizeLOC100284952	RiceLOC4349412	SorghumLOC8055628	GWHGABKY002658, GWHGABKY024381
OG0002993	BrachyLOC100823672, BrachyLOC100833385	MaizeLOC100273202, MaizeLOC100284309	RiceLOC4324053	SorghumLOC8059115, SorghumLOC8075129	GWHGABKY014745
